Region,Data Type,Interest Rate Type,Frequency,Unit,date,value
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/8/28,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/8/29,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/8/30,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/8/31,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/9/1,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/9/4,
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/9/5,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/9/6,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/9/7,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/9/8,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/9/11,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/9/12,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/9/13,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/9/14,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/9/15,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/9/18,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/9/19,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/9/20,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/9/21,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/9/22,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/9/25,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/9/26,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/9/27,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/9/28,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/9/29,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/10/2,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/10/3,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/10/4,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/10/5,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/10/6,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/10/9,
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/10/10,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/10/11,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/10/12,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/10/13,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/10/16,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/10/17,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/10/18,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/10/19,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/10/20,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/10/23,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/10/24,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/10/25,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/10/26,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/10/27,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/10/30,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/10/31,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/11/1,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/11/2,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/11/3,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/11/6,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/11/7,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/11/8,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/11/9,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/11/10,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/11/13,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/11/14,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/11/15,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/11/16,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/11/17,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/11/20,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/11/21,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/11/22,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/11/23,
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/11/24,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/11/27,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/11/28,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/11/29,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/11/30,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/12/1,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/12/4,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/12/5,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/12/6,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/12/7,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/12/8,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/12/11,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/12/12,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/12/13,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/12/14,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/12/15,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/12/18,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/12/19,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/12/20,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/12/21,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/12/22,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/12/25,
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/12/26,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/12/27,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/12/28,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2023/12/29,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/1/1,
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/1/2,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/1/3,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/1/4,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/1/5,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/1/8,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/1/9,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/1/10,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/1/11,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/1/12,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/1/15,
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/1/16,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/1/17,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/1/18,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/1/19,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/1/22,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/1/23,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/1/24,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/1/25,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/1/26,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/1/29,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/1/30,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/1/31,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/2/1,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/2/2,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/2/5,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/2/6,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/2/7,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/2/8,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/2/9,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/2/12,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/2/13,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/2/14,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/2/15,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/2/16,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/2/19,
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/2/20,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/2/21,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/2/22,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/2/23,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/2/26,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/2/27,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/2/28,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/2/29,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/3/1,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/3/4,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/3/5,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/3/6,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/3/7,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/3/8,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/3/11,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/3/12,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/3/13,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/3/14,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/3/15,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/3/18,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/3/19,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/3/20,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/3/21,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/3/22,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/3/25,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/3/26,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/3/27,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/3/28,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/3/29,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/4/1,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/4/2,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/4/3,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/4/4,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/4/5,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/4/8,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/4/9,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/4/10,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/4/11,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/4/12,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/4/15,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/4/16,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/4/17,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/4/18,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/4/19,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/4/22,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/4/23,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/4/24,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/4/25,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/4/26,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/4/29,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/4/30,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/5/1,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/5/2,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/5/3,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/5/6,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/5/7,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/5/8,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/5/9,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/5/10,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/5/13,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/5/14,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/5/15,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/5/16,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/5/17,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/5/20,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/5/21,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/5/22,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/5/23,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/5/24,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/5/27,
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/5/28,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/5/29,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/5/30,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/5/31,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/6/3,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/6/4,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/6/5,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/6/6,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/6/7,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/6/10,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/6/11,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/6/12,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/6/13,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/6/14,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/6/17,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/6/18,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/6/19,
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/6/20,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/6/21,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/6/24,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/6/25,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/6/26,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/6/27,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/6/28,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/7/1,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/7/2,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/7/3,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/7/4,
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/7/5,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/7/8,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/7/9,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/7/10,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/7/11,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/7/12,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/7/15,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/7/16,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/7/17,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/7/18,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/7/19,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/7/22,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/7/23,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/7/24,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/7/25,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/7/26,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/7/29,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/7/30,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/7/31,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/8/1,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/8/2,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/8/5,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/8/6,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/8/7,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/8/8,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/8/9,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/8/12,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/8/13,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/8/14,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/8/15,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/8/16,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/8/19,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/8/20,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/8/21,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/8/22,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/8/23,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/8/26,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/8/27,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/8/28,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/8/29,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/8/30,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/9/2,
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/9/3,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/9/4,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/9/5,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/9/6,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/9/9,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/9/10,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/9/11,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/9/12,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/9/13,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/9/16,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/9/17,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/9/18,5.33
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/9/19,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/9/20,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/9/23,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/9/24,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/9/25,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/9/26,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/9/27,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/9/30,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/10/1,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/10/2,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/10/3,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/10/4,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/10/7,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/10/8,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/10/9,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/10/10,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/10/11,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/10/14,
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/10/15,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/10/16,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/10/17,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/10/18,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/10/21,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/10/22,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/10/23,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/10/24,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/10/25,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/10/28,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/10/29,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/10/30,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/10/31,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/11/1,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/11/4,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/11/5,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/11/6,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/11/7,4.83
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/11/8,4.58
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/11/11,
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/11/12,4.58
US,Interest Rate,Effective Federal Funds Rate,Daily,Percentage (%),2024/11/13,4.58
